交易日期,縣市,鄉鎮市區,土地位置建物門牌,建物型態,建坪,屋齡,總價_萬,單價_萬每坪,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建築完成年月,移轉層次,總樓層數
2026-09-03,新北市,中和區,新北市中和區連城路２４９巷１７弄２號四樓,公寓(5樓含以下無電梯),31.895601196085043,47.0,1450.0,45.460824741500005,7,0,7,0680921,四層，陽台,五層
2026-08-30,新北市,中和區,新北市中和區景平路１８２號三十五樓之五,住宅大樓(11層含以上有電梯),15.75420059078252,28.8,1068.0,67.7914024165,1,1,1,0861104,三十五層,四十一層
2026-08-18,新北市,中和區,新北市中和區民享街８９巷４弄５號,公寓(5樓含以下無電梯),30.836851156381915,41.9,1900.0,61.61454314400001,3,2,2,0730906,一層,五層
2026-08-13,新北市,中和區,新北市中和區興南路一段８５巷７７號十一樓,住宅大樓(11層含以上有電梯),51.334251925034444,13.2,3150.0,61.362642327,3,2,2,1020528,十一層,十四層
2026-08-11,新北市,中和區,新北市中和區安樂路１４３巷２８號四樓,華廈(10層含以下有電梯),54.60427704766038,28.3,2450.0,52.77751868200001,3,2,2,0870421,四層,六層
2026-08-11,新北市,中和區,新北市中和區安樂路１４３巷２８號五樓,華廈(10層含以下有電梯),54.60427704766038,28.3,2450.0,52.77751868200001,2,2,1,0870421,五層,六層
2026-08-09,新北市,中和區,新北市中和區中興街１８９號八樓,住宅大樓(11層含以上有電梯),12.332925462484704,15.2,835.0,67.70479084950001,1,0,1,1000510,八層,十三層
2026-08-08,新北市,中和區,新北市中和區連勝街１４８號,公寓(5樓含以下無電梯),24.33612591260472,39.6,1200.0,49.3094196385,0,0,0,0751231,一層，騎樓,五層
2026-08-05,新北市,中和區,新北市中和區民享街８６巷３０弄５號,公寓(5樓含以下無電梯),32.17692620663473,40.3,1800.0,55.9408243485,2,2,2,0750425,一層,五層
2026-08-03,新北市,中和區,新北市中和區南山路２３６巷２４弄３３號四樓,華廈(10層含以下有電梯),37.73687641513286,30.9,1620.0,42.92892401,3,2,2,0840902,四層,六層
2026-08-01,新北市,中和區,新北市中和區福祥路８號,公寓(5樓含以下無電梯),22.267025835013467,46.3,1600.0,71.855203917,1,0,1,0690328,一層，二層，騎樓,五層
2026-07-26,新北市,中和區,新北市中和區景平路２３９巷３號七樓之一,住宅大樓(11層含以上有電梯),9.640675361525325,17.3,761.0,78.93652596550001,1,1,1,0980320,七層,十三層
2026-07-26,新北市,中和區,新北市中和區圓通路７３號十五樓,住宅大樓(11層含以上有電梯),41.02807653855287,14.4,2450.0,74.72065835500001,2,2,1,1010314,十五層,十五層
2026-07-24,新北市,中和區,新北市中和區民安街２５巷１３弄１２號二樓,公寓(5樓含以下無電梯),21.105425791453463,47.7,1050.0,49.75008077900001,3,2,1,0671028,二層，陽台,四層
2026-07-24,新北市,中和區,新北市中和區景平路７２６之６號九樓之一,住宅大樓(11層含以上有電梯),33.196351244863166,37.4,2050.0,61.7537166925,4,2,2,0780220,九層,十二層
2026-07-24,新北市,中和區,新北市中和區景新街２９２號四樓,公寓(5樓含以下無電梯),21.12357579213409,51.0,870.0,41.186114158,3,2,2,0640801,四層,四層
2026-07-24,新北市,中和區,新北市中和區民利街１６號三樓,公寓(5樓含以下無電梯),22.62700084851253,49.0,1060.0,46.8466098135,3,2,1,0660727,三層，陽台,四層
2026-07-24,新北市,中和區,新北市中和區福祥路９號十七樓之二十一,住宅大樓(11層含以上有電梯),17.169900643871273,27.7,1070.0,62.318344770500005,1,1,1,0871120,十七層,十九層
2026-07-22,新北市,中和區,新北市中和區華新街１０９巷４０號五樓,住宅大樓(11層含以上有電梯),15.000975562536583,30.0,740.0,49.330246084,1,1,1,0850719,五層,十四層
2026-07-21,新北市,中和區,新北市中和區中正路１７巷１０號七樓,住宅大樓(11層含以上有電梯),23.42560087846003,29.7,1580.0,67.4476007765,2,2,1,0851116,七層,二十二層
2026-07-21,新北市,中和區,新北市中和區民享街４４巷１０號十樓,華廈(10層含以下有電梯),45.74707671551538,36.5,2018.0,44.1120644615,3,2,2,0790117,十層,十層
2026-07-20,新北市,中和區,新北市中和區自立路９９巷３０號二樓,公寓(5樓含以下無電梯),29.756926115884728,41.8,1350.0,45.3676016045,3,2,2,0731006,二層,五層
2026-07-20,新北市,中和區,新北市中和區連城路５５５之１０號十六樓,住宅大樓(11層含以上有電梯),21.36860080132253,1.5,1645.5,77.00561694700001,2,2,1,1140115,十六層,二十四層
2026-07-18,新北市,中和區,新北市中和區自立路９９巷３０號,公寓(5樓含以下無電梯),29.756926115884728,41.8,1850.0,62.17024560250001,3,2,2,0731006,一層,五層
2026-07-15,新北市,中和區,新北市中和區大勇街２９巷１９號二樓,公寓(5樓含以下無電梯),22.47272584272722,53.0,1280.0,56.958014393,3,2,2,0620704,二層,四層
2026-07-15,新北市,中和區,新北市中和區景平路７１之７號四樓之八,住宅大樓(11層含以上有電梯),10.587500397031265,28.7,700.0,66.1157,1,0,1,0861104,四層,二十一層
2026-07-13,新北市,中和區,新北市中和區民德路６９號十三樓,住宅大樓(11層含以上有電梯),37.237751396415675,31.0,1520.0,40.822147229500004,2,2,1,0840719,十三層,十六層
2026-07-13,新北市,中和區,新北市中和區興南路一段８５巷４３號十三樓,住宅大樓(11層含以上有電梯),54.50142704380351,13.1,3090.0,56.6958656425,3,2,2,1020528,十三層,十四層
2026-07-13,新北市,中和區,新北市中和區廣福路６６號四樓,公寓(5樓含以下無電梯),23.821875893320346,52.2,1258.0,52.808593061,1,2,1,0630423,四層,四層
2026-07-13,新北市,中和區,新北市中和區景平路１９０號十八樓之一,住宅大樓(11層含以上有電梯),11.62205043582689,28.7,710.0,61.090906800000006,1,1,1,0861104,十八層,四十一層
2026-07-12,新北市,中和區,新北市中和區自立路３６之２號五樓,華廈(10層含以下有電梯),45.28727669827287,28.0,2490.0,64.007270327,4,2,2,0870624,五層,八層
2026-07-12,新北市,中和區,新北市中和區景安路７８之１號七樓,住宅大樓(11層含以上有電梯),24.284700910676282,18.5,1760.0,72.47371629050001,2,1,1,0970109,七層,十二層
2026-07-12,新北市,中和區,新北市中和區中正路１７巷１８號十一樓,住宅大樓(11層含以上有電梯),35.76155134105817,29.7,2100.0,58.7223118475,4,2,2,0851116,十一層,二十二層
2026-07-07,新北市,中和區,新北市中和區市民街１６巷９號,透天厝,22.052250826959405,50.8,1715.0,77.769914439,5,2,3,0640911,全,二層
2026-07-07,新北市,中和區,新北市中和區福祥路９號十九樓之三十四,住宅大樓(11層含以上有電梯),17.13360064251002,27.6,1020.0,59.5322291725,1,1,1,0871120,十九層,十九層
2026-07-05,新北市,中和區,新北市中和區民享街３２巷３號五樓,公寓(5樓含以下無電梯),23.833975893774095,41.8,1020.0,42.796031453000005,7,0,7,0730901,五層,五層
2026-07-05,新北市,中和區,新北市中和區圓通路３３５巷１弄６號,公寓(5樓含以下無電梯),26.547400995527536,47.9,1060.0,39.928593544,3,2,1,0670804,一層，平台,四層
2026-07-05,新北市,中和區,新北市中和區連城路３９３號三樓,公寓(5樓含以下無電梯),22.342650837849405,47.4,1125.0,50.3520642275,3,2,1,0680225,三層，陽台,五層
2026-07-05,新北市,中和區,新北市中和區圓通路３０５巷３２號二樓之二,華廈(10層含以下有電梯),16.806900630258774,27.8,690.0,55.303138422,1,1,1,0871003,二層,八層
2026-07-04,新北市,中和區,新北市中和區興南路一段１３５巷１０弄１３號三樓,公寓(5樓含以下無電梯),18.96675071125315,51.2,620.0,32.688924394000004,3,2,2,0640405,三層,四層
2026-07-03,新北市,中和區,新北市中和區民德路８９號十二樓,住宅大樓(11層含以上有電梯),46.65457674954663,31.0,2050.0,52.7302459565,3,2,2,0840719,十二層,十六層
2026-07-03,新北市,中和區,新北市中和區中正路２２號三樓,公寓(5樓含以下無電梯),36.284876360682865,41.4,1280.0,35.2763623135,4,2,2,0740126,三層,五層
2026-07-02,新北市,中和區,新北市中和區中山路二段１３４之８號,公寓(5樓含以下無電梯),41.11580154184255,45.8,1850.0,44.9947090565,2,1,1,0690919,一層，二層，陽台，平台,五層
2026-06-28,新北市,中和區,新北市中和區秀朗路三段３０號十三樓,住宅大樓(11層含以上有電梯),45.02712668851725,2.8,2908.0,64.583138074,3,2,2,1120927,十三層,十三層
2026-06-22,新北市,中和區,新北市中和區景平路２２１巷１０號四樓,公寓(5樓含以下無電梯),37.22867639607536,40.6,1600.0,42.9775190495,4,2,2,0741104,四層,五層
