交易日期,縣市,鄉鎮市區,土地位置建物門牌,建物型態,建坪,屋齡,總價_萬,單價_萬每坪,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建築完成年月,移轉層次,總樓層數
2026-07-29,新北市,新店區,新北市新店區達觀路２２巷１號二樓之六,住宅大樓(11層含以上有電梯),59.33840222519008,30.1,860.0,14.493222597,3,2,2,0850710,二層,十四層
2026-07-28,新北市,新店區,新北市新店區日月街７２號十四樓,住宅大樓(11層含以上有電梯),33.792276267210354,0.5,2300.0,82.2171869995,2,2,2,1150204,十四層,十五層
2026-07-26,新北市,新店區,新北市新店區溪園路３３３號十一樓,住宅大樓(11層含以上有電梯),40.89195153344818,22.7,2450.0,68.432394128,3,2,2,0921201,十一層,十四層
2026-07-25,新北市,新店區,新北市新店區安和路三段５２號五樓之二,住宅大樓(11層含以上有電梯),10.139800380242514,29.3,568.0,56.016857403500005,1,0,1,0860319,五層,十二層
2026-07-20,新北市,新店區,新北市新店區寶橋路７８巷８０號八樓,住宅大樓(11層含以上有電梯),48.42420181590756,12.9,3080.0,71.23041055200001,3,2,2,1020829,八層,二十七層
2026-07-15,新北市,新店區,新北市新店區文記街６號二十三樓,住宅大樓(11層含以上有電梯),97.89807867117794,1.0,7133.0,99.512062384,4,2,3,1140702,二十三層,二十四層
2026-07-14,新北市,新店區,新北市新店區北宜路二段３０巷５弄２８號六樓,住宅大樓(11層含以上有電梯),38.43262644122349,15.6,1535.0,39.940163791500005,2,2,2,0991119,六層,十五層
2026-07-12,新北市,新店區,新北市新店區三民路１４３巷６號五樓,公寓(5樓含以下無電梯),31.735276190072856,41.3,1350.0,42.539502537000004,3,2,2,0740404,五層,五層
2026-07-12,新北市,新店區,新北市新店區溪園路４８５號六樓,住宅大樓(11層含以上有電梯),24.79895092996066,23.6,1520.0,70.372228766,1,1,1,0911121,六層,十四層
2026-07-11,新北市,新店區,新北市新店區安祥路１１０巷３９號八樓,住宅大樓(11層含以上有電梯),22.93252585996972,30.4,535.0,23.3292553235,2,2,1,0850213,八層,十七層
2026-07-08,新北市,新店區,新北市新店區中興路二段７９巷８號四樓,公寓(5樓含以下無電梯),24.626525923494718,50.6,850.0,34.515701185,3,2,1,0641117,四層,四層
2026-07-08,新北市,新店區,新北市新店區中正路６４３號六樓,住宅大樓(11層含以上有電梯),36.59947637248036,26.9,1390.0,49.9593369695,3,1,2,0880804,六層，七層,十三層
2026-07-07,新北市,新店區,新北市新店區北新路二段１３９巷１２弄１１號四樓,公寓(5樓含以下無電梯),35.737351340150674,48.2,1650.0,46.1702462025,4,2,2,0670501,四層,五層
2026-07-07,新北市,新店區,新北市新店區永業路３２號五樓,公寓(5樓含以下無電梯),28.583226071870975,41.8,760.0,26.589089912000002,3,2,1,0730907,五層,五層
2026-07-05,新北市,新店區,新北市新店區黎明路１０６號二樓,住宅大樓(11層含以上有電梯),53.67560201283507,34.3,1100.0,20.4935529505,3,2,2,0810307,二層,十六層
2026-07-05,新北市,新店區,新北市新店區大新街７巷３２號二樓,公寓(5樓含以下無電梯),29.868851120081914,50.1,1570.0,52.562973235499996,3,2,2,0650609,二層,四層
2026-07-03,新北市,新店區,新北市新店區中興路一段１７５號十二樓,住宅大樓(11層含以上有電梯),31.720151189505668,26.8,1615.0,50.91404767750001,2,0,2,0880930,十二層,二十層
2026-06-28,新北市,新店區,新北市新店區中央三街１１３號十九樓,住宅大樓(11層含以上有電梯),61.51035230663821,26.5,3028.0,49.227436170500006,4,2,2,0890105,十九層,二十四層
2026-06-27,新北市,新店區,新北市新店區竹林路５２號七樓,住宅大樓(11層含以上有電梯),68.74917757809416,4.1,2350.0,34.1821474785,4,2,3,1110601,七層,十三層
2026-06-24,新北市,新店區,新北市新店區央北二路３１３號六樓,住宅大樓(11層含以上有電梯),25.942400972840034,3.0,1428.0,63.351402583,2,1,1,1120627,六層,十五層
2026-06-20,新北市,新店區,新北市新店區安忠路５６巷１５號七樓,住宅大樓(11層含以上有電梯),49.546476857992886,24.2,1638.0,38.713386978,3,2,2,0910416,七層,十四層
2026-06-19,新北市,新店區,新北市新店區北宜路二段５６巷３弄８號五樓,公寓(5樓含以下無電梯),34.004026275150984,39.4,950.0,27.937850192000003,3,2,2,0760110,五層,五層
2026-06-18,新北市,新店區,新北市新店區安德街５２之２號七樓,住宅大樓(11層含以上有電梯),43.959301648473804,17.7,1790.0,45.5004941615,3,2,2,0971003,七層,十三層
2026-06-12,新北市,新店區,新北市新店區央北二路３２１號三樓,住宅大樓(11層含以上有電梯),25.62175096081566,3.0,1540.0,60.105121713,2,1,1,1120627,三層,十五層
2026-06-11,新北市,新店區,新北市新店區合記街５０號十三樓,住宅大樓(11層含以上有電梯),48.80535183020069,3.0,3560.0,72.94280718200001,1,2,2,1120609,十三層,二十二層
2026-06-01,新北市,新店區,新北市新店區北宜路一段１１１號十二樓之三,住宅大樓(11層含以上有電梯),20.687975775799092,25.0,1260.0,60.904791104500006,2,2,1,0900515,十二層,十五層
2026-05-31,新北市,新店區,新北市新店區中央路１６５號五樓之２,住宅大樓(11層含以上有電梯),48.1610268060385,13.5,2940.0,66.7408239435,2,2,2,1011114,五層,二十六層
2026-05-30,新北市,新店區,新北市新店區中興路一段１０１號三樓,華廈(10層含以下有電梯),52.495851968594444,44.9,2080.0,39.6221472745,2,2,2,0700714,三層,七層
2026-05-25,新北市,新店區,新北市新店區和成街１７巷１７號,透天厝,33.78925126709692,43.9,1050.0,31.075040157000004,4,1,2,0710621,全,二層
2026-05-21,新北市,新店區,新北市新店區松林路３０－９號四樓,華廈(10層含以下有電梯),16.210975607911585,44.4,190.0,11.720330139000001,1,0,1,0701222,四層,七層
2026-05-20,新北市,新店區,新北市新店區安祥路１５６巷８６號五樓,華廈(10層含以下有電梯),54.87047705764288,8.2,1910.0,40.140163784,3,2,2,1070222,五層,六層
