交易日期,縣市,鄉鎮市區,土地位置建物門牌,建物型態,建坪,屋齡,總價_萬,單價_萬每坪,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建築完成年月,移轉層次,總樓層數
2026-05-23,新北市,板橋區,新北市板橋區文化路一段３６２號三十八樓之１,住宅大樓(11層含以上有電梯),84.996453187367,15.9,5800.0,68.23801397000001,4,2,3,0990715,三十八層,四十六層
2026-05-23,新北市,板橋區,新北市板橋區廣和街８８號十樓,住宅大樓(11層含以上有電梯),14.607725547789707,17.5,950.0,65.03404714800001,2,1,1,0971120,十層,十三層
2026-05-22,新北市,板橋區,新北市板橋區江寧路三段１０３號三樓,公寓(5樓含以下無電梯),23.168475868817843,,900.0,38.8459489565,3,0,3,,三層，陽台,五層
2026-05-13,新北市,板橋區,新北市板橋區新崑路１１６號二樓,住宅大樓(11層含以上有電梯),44.19827665743538,9.5,1945.0,46.972560222,3,2,2,1051124,二層,十三層
2026-05-12,新北市,板橋區,新北市板橋區松柏街７８號四樓,公寓(5樓含以下無電梯),26.0845759781716,,935.0,35.844957333500005,3,1,1,,四層,五層
2026-05-11,新北市,板橋區,新北市板橋區三民路二段正泰三巷１號二樓,公寓(5樓含以下無電梯),31.027426163528478,41.1,1680.0,54.1457830935,3,2,2,0740404,二層,五層
2026-05-09,新北市,板橋區,新北市板橋區永翠路７０號十三樓,住宅大樓(11層含以上有電梯),20.185825756968466,6.1,1415.0,70.09884034650001,1,2,1,1090420,十三層,十五層
2026-05-07,新北市,板橋區,新北市板橋區中正路２５０巷６８號,公寓(5樓含以下無電梯),17.787000667012524,51.3,1370.0,77.02247645050001,4,1,1,0640131,一層,四層
2026-05-03,新北市,板橋區,新北市板橋區漢生東路２６２號八樓,住宅大樓(11層含以上有電梯),88.53267831997543,15.8,5400.0,79.0085920785,4,2,2,0990705,八層,二十三層
2026-05-02,新北市,板橋區,新北市板橋區中山路一段２９３之４號十三樓,住宅大樓(11層含以上有電梯),33.70757626403411,31.4,2060.0,61.1137167165,2,2,2,0831213,十三層,十四層
2026-05-02,新北市,板橋區,新北市板橋區文化路一段３６６號三十樓之２,住宅大樓(11層含以上有電梯),35.4651013299413,15.8,2788.0,101.619169743,2,2,2,0990715,三十層,四十三層
2026-05-02,新北市,板橋區,新北市板橋區永豐街１７７號四樓,公寓(5樓含以下無電梯),21.48052580551972,50.4,1270.0,59.12330356800001,2,2,1,0641223,四層,四層
2026-04-29,新北市,板橋區,新北市板橋區三民路一段３巷９號,公寓(5樓含以下無電梯),22.31240083671503,,1200.0,53.781816165,3,1,1,,一層，騎樓,四層
