交易日期,縣市,鄉鎮市區,土地位置建物門牌,建物型態,建坪,屋齡,總價_萬,單價_萬每坪,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建築完成年月,移轉層次,總樓層數
2026-05-01,新北市,永和區,新北市永和區永安街２８號五樓,華廈(10層含以下有電梯),36.24252635909474,49.2,2290.0,63.185452176000005,3,2,2,0660214,五層，陽台,七層
2026-04-23,新北市,永和區,新北市永和區保安路１０５巷１３號八樓,住宅大樓(11層含以上有電梯),38.5385014451938,9.2,2590.0,76.45817895100001,2,2,1,1060206,八層,十五層
2026-04-17,新北市,永和區,新北市永和區福和路５０號十二樓之四,住宅大樓(11層含以上有電梯),38.5627014461013,29.5,1900.0,49.270411375500004,3,2,1,0851004,十二層,十二層
2026-04-12,新北市,永和區,新北市永和區民族街８１巷６８號四樓,華廈(10層含以下有電梯),40.483576518134115,30.9,2188.0,54.046609543500004,3,2,2,0840601,四層,七層
2026-04-08,新北市,永和區,新北市永和區永貞路３９巷６弄１２號四樓,公寓(5樓含以下無電梯),21.29297579848659,54.8,1120.0,52.599667449,2,2,1,0600708,,四層
2026-04-07,新北市,永和區,新北市永和區永和路一段１５１巷２０號,公寓(5樓含以下無電梯),37.13187639244536,51.5,2400.0,64.6343777415,3,2,2,0631001,一層,四層
2026-04-06,新北市,永和區,新北市永和區永和路一段７２巷１３號八樓,住宅大樓(11層含以上有電梯),23.440725879027223,0.8,1900.0,81.05553415050001,3,2,1,1140624,八層,二十三層
2026-04-03,新北市,永和區,新北市永和區環河西路二段２４５之１號四樓之一,住宅大樓(11層含以上有電梯),29.635926111347228,23.8,1900.0,64.1114025545,2,2,2,0910613,四層,二十三層
2026-03-30,新北市,永和區,新北市永和區民治街７２巷１３號,公寓(5樓含以下無電梯),21.677150812893153,55.4,1300.0,59.970906842000005,3,2,1,0591030,一層,四層
2026-03-29,新北市,永和區,新北市永和區豫溪街５９號三樓,公寓(5樓含以下無電梯),24.333100912491282,45.7,1120.0,46.027766869000004,2,2,2,0690712,三層，陽台,五層
2026-03-29,新北市,永和區,新北市永和區林森路１２２之１號三樓之六,華廈(10層含以下有電梯),13.812150517955642,32.8,990.0,71.67603037,1,1,1,0820524,三層,八層
2026-03-29,新北市,永和區,新北市永和區警光街１６號四樓,公寓(5樓含以下無電梯),23.51332588174972,52.4,1370.0,58.2647912035,3,2,1,0621114,四層,四層
2026-03-24,新北市,永和區,新北市永和區林森路９２號十一樓,住宅大樓(11層含以上有電梯),31.798801192455045,27.9,1780.0,55.976857405000004,3,2,2,0870414,十一層,十二層
2026-03-23,新北市,永和區,新北市永和區秀朗路一段８２號五樓之十五,住宅大樓(11層含以上有電梯),32.77587622909535,29.4,1840.0,56.13884087,2,1,1,0851018,五層,十四層
2026-03-22,新北市,永和區,新北市永和區成功路二段７３號四樓,住宅大樓(11層含以上有電梯),67.77815254168071,22.1,3822.0,61.71338611550001,4,2,2,0930205,四層,十四層
2026-03-21,新北市,永和區,新北市永和區永安街３３巷１號三樓,公寓(5樓含以下無電梯),35.1021013163288,42.0,1636.0,46.606940401,3,2,2,0730312,三層,五層
2026-03-19,新北市,永和區,新北市永和區秀朗路二段１４８巷５弄１５號三樓,公寓(5樓含以下無電梯),34.19762628241098,46.6,1620.0,47.371568471500005,3,2,2,0680823,,五層
2026-03-17,新北市,永和區,新北市永和區民享街５號三樓,公寓(5樓含以下無電梯),17.36955065135815,52.7,635.0,36.5583457365,3,2,1,0620718,三層,四層
2026-03-15,新北市,永和區,新北市永和區民族街４３巷７號三樓,公寓(5樓含以下無電梯),21.29297579848659,54.5,1130.0,53.069088919,2,2,1,0600903,三層,四層
2026-03-14,新北市,永和區,新北市永和區民族街２７巷１４號三樓,公寓(5樓含以下無電梯),30.30142613630348,45.6,1455.0,48.017518860500005,3,2,1,0690807,三層，陽台,五層
