鄉鎮市區,縣市,n,單價中位,單價平均,總價中位,建坪中位,屋齡中位,2年漲幅
中正區,台北市,42,125.8,117.9,3164.0,33.5,14.4,23.7
大安區,台北市,125,108.0,113.9,3260.0,34.5,39.6,9.4
信義區,台北市,78,92.9,97.8,2478.0,27.7,42.3,13.9
松山區,台北市,78,87.8,92.1,2843.0,32.8,40.6,24.9
中山區,台北市,122,81.7,82.6,2029.0,26.6,40.2,13.2
大同區,台北市,37,76.8,84.2,1878.0,25.6,20.2,8.3
內湖區,台北市,102,72.5,77.4,2340.0,33.7,28.9,34.1
南港區,台北市,36,71.9,81.2,2586.0,38.7,20.6,28.5
士林區,台北市,102,69.8,76.2,2236.0,33.4,40.9,15.9
萬華區,台北市,69,63.5,66.7,1510.0,24.7,38.8,3.4
文山區,台北市,85,61.4,64.3,1650.0,30.3,37.1,15.9
北投區,台北市,102,59.6,64.0,1759.0,32.2,31.0,16.1
三重區,新北市,169,58.3,57.5,1502.0,27.2,25.5,23.6
永和區,新北市,88,57.0,59.9,1682.0,29.7,40.0,2.9
板橋區,新北市,223,54.6,58.6,1550.0,29.9,20.7,6.4
中和區,新北市,193,53.6,55.2,1330.0,26.5,31.1,17.1
蘆洲區,新北市,64,50.0,53.5,1420.0,28.5,30.0,29.5
土城區,新北市,105,48.3,48.9,1420.0,29.6,30.9,33.3
新莊區,新北市,214,48.2,49.4,1418.0,31.3,31.4,17.2
林口區,新北市,78,46.5,46.0,1728.0,40.3,11.8,11.3
新店區,新北市,173,45.0,47.6,1438.0,33.0,29.4,-4.1
泰山區,新北市,29,43.7,42.9,1402.0,35.7,29.4,25.2
汐止區,新北市,174,40.0,41.9,1274.0,32.0,29.0,7.2
三峽區,新北市,65,40.0,40.4,1300.0,36.6,18.8,8.2
五股區,新北市,58,37.9,38.3,1454.0,39.3,10.2,35.5
樹林區,新北市,48,35.4,37.6,1262.0,35.5,28.1,0.8
淡水區,新北市,305,32.4,32.3,1070.0,37.0,14.4,15.2
鶯歌區,新北市,36,31.8,32.0,1245.0,40.1,7.4,15.1
深坑區,新北市,13,31.0,31.3,850.0,28.2,33.4,15.9
八里區,新北市,31,26.1,27.9,965.0,40.1,27.2,-9.0
金山區,新北市,15,13.6,16.8,438.0,34.6,28.5,-6.6
三芝區,新北市,27,13.4,13.7,280.0,20.9,29.6,-2.4
瑞芳區,新北市,13,12.1,13.0,380.0,29.8,29.2,-1.2
石門區,新北市,1,10.7,10.7,260.0,24.4,46.9,28.5
貢寮區,新北市,1,10.7,10.7,180.0,16.8,28.9,3.1
萬里區,新北市,14,9.4,11.0,208.0,19.2,45.0,-38.0
